source_file,report_type,cable_id,pair,status,status_group,ckid,lp_status,svc_type,bp_clr,capr_ref,terminal,address,city,state,defect_type,raw_block
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,1,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 1! *! *! C! ! ! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,2,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 2! C! *!**! ! ! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,3,DEF,Defective,,,,,,,,,,,DEF! ! ! ! 3! D! D! D! ! ! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,4,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 4! *! C!**! *! ! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,5,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 5! C! *!**! *! ! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,6,DEF,Defective,,,,,,,,,,,DEF! ! ! ! 6! D! D! D! D! ! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,7,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 7! C! *!**! *! ! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,8,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 8! *! C!**! *! ! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,9,DEF,Defective,,,,,,,,,,,DEF! ! ! ! 9! D! D! D! D! ! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,10,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 10! C! *!**! *! ! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,11,UNK,Review / assigned,,,,,,,,,,,! ! R! ! 11! *! *!**! *! *! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,12,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 12! *! *!**! *! C! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,13,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 13! ! !**! *! C! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,14,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 14! ! !**! *! C! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,15,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 15! ! !**! C! *! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,16,DEF,Defective,,,,,,,,,,,DEF! ! ! ! 16! ! ! D! ! D! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,17,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 17! ! ! C! ! *! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,18,UNK,Review / assigned,,,,,,,,,,,! ! R! ! 18! ! !**! ! *! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,19,PCF,Review / assigned,,,,,,,,,,,PCF! ! ! ! 19! ! !CW! ! *! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,20,RCF,Review / assigned,,,,,,,,,,,RCF06-04-17! ! R! ! 20! ! !**! ! C! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,21,DEF,Defective,,,,,,,,,,,DEF! ! ! ! 21! ! ! D! ! D! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,22,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 22! ! !**! ! C! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,23,UNK,Review / assigned,,,,,,,,,,,! ! R! ! 23! ! !**! ! ! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,24,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 24! ! ! C! ! ! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,25,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 25! ! ! C! ! ! ! ! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,26,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 26! ! ! ! ! ! *! C! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,27,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 27! ! ! ! ! ! *! C! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,28,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 28! ! ! ! ! ! *! C! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,29,UNK,Review / assigned,,,,,,,,,,,! ! R! ! 29! ! ! ! ! ! *!**! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,30,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 30! ! ! ! ! ! *! C! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,31,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 31! ! ! ! ! ! *! C! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,32,PCF,Review / assigned,,,,,,,,,,,PCF! ! R! ! 32! ! ! ! ! ! C!**! ! ! ! ! ! ! ! ! !
"ACR 6680P, 1-1200.pdf",ACR_MATRIX,6680P,33,DEF,Defective,,,,,,,,,,,DEF! ! ! ! 33! ! ! ! ! ! D! D! ! ! ! ! ! ! ! ! !
